question_id,language,question,multi_faithfulness,multi_completeness,multi_appropriateness,multi_faith_label,trans_faithfulness,trans_completeness,trans_appropriateness,trans_faith_label
27,hindi,स्थानीय एनेस्थेटिक्स में प्लाज्मा सांद्रता और दवा बाइंडिंग के बीच क्या संबंध है?,5,3,5,factual,5,5,5,factual
28,hindi,ज़ोलेड्रोनिक एसिड इंजेक्शन के संभावित गुर्दे संबंधी दुष्प्रभाव क्या हैं?,5,2,4,factual,5,5,5,factual
29,hindi,ज़ोलेड्रोनिक एसिड इंजेक्शन के पोस्ट-अप्रूवल उपयोग के दौरान रिपोर्ट की गई प्रतिकूल प्रतिक्रियाएं क्या हैं?,5,3,5,factual,5,3,5,factual
30,chinese,什么是胰岛素抵抗，它如何影响葡萄糖进入细胞？,5,5,5,factual,5,5,5,factual
31,chinese,家族史如何影响心脏病的风险？,5,5,5,factual,5,5,5,factual
32,chinese,吸烟对血压和心脏病风险有何影响？,5,5,5,factual,5,5,5,factual
33,chinese,可以改变的心脏病风险因素有哪些？,5,5,5,factual,5,5,5,factual
34,chinese,不同族群之间心脏病发病率有什么差异？,3,5,5,partial,3,5,5,partial
35,chinese,酒精摄入对心脏病风险有什么影响？,5,3,5,factual,5,3,5,factual
36,chinese,额外的卡路里对心脏病风险有什么影响？,5,5,5,factual,5,5,5,factual
37,chinese,压力与心脏病有什么关系？,5,5,5,factual,5,5,5,factual
38,chinese,哪个族群的心脏病发病率比其他族群低？,5,5,5,factual,5,5,5,factual
39,chinese,家族成员心脏病诊断的年龄阈值是多少会增加风险？,5,5,5,factual,5,5,5,factual
40,chinese,饮酒超过推荐量对心脏病风险有什么影响？,5,5,5,factual,5,5,5,factual
41,chinese,男性和女性减少心脏病风险的饮酒指南是什么？,5,5,5,factual,5,5,5,factual
42,chinese,管理压力如何影响心脏病风险？,5,5,5,factual,5,5,5,factual
43,chinese,吸烟者降低心脏病风险的建议措施是什么？,5,5,5,factual,5,3,4,factual
44,chinese,戒烟对心脏病风险有什么影响？,5,5,5,factual,5,5,5,factual
45,chinese,女性饮酒以降低心脏病风险的指南是什么？,3,3,2,partial,5,3,5,factual
46,chinese,盐酸甲哌卡因用于什么？,5,1,5,factual,4,5,5,partial
47,chinese,哌替啶盐酸盐的结构式是什么？,5,3,5,factual,5,1,5,factual
48,chinese,血浆蛋白在局部麻醉药作用中的角色是什么？,5,3,5,factual,5,5,5,factual
49,chinese,什么浓度的盐酸甲哌卡因可以提供完全的感觉和运动阻滞？,5,3,5,factual,5,5,5,factual
50,chinese,盐酸甲哌卡因提供的麻醉通常能维持手术多长时间？,5,1,4,factual,5,5,5,factual
51,chinese,哌替啶盐酸盐注射液的pH范围是多少？,5,3,5,factual,5,3,5,factual
52,chinese,哌替啶盐酸盐注射液有哪些给药形式？,5,3,5,factual,5,3,5,factual
53,chinese,哌替啶盐酸盐的熔点是多少？,5,3,5,factual,5,3,5,factual
54,chinese,盐酸哌替啶的化学成分是什么？,5,3,5,factual,5,1,5,factual
55,chinese,盐酸哌替啶作为麻醉性镇痛药的作用是什么？,5,2,5,factual,5,3,5,factual
56,chinese,盐酸哌替啶注射液有哪些浓度可用？,5,3,5,factual,5,3,5,factual
57,chinese,血浆浓度与局部麻醉药物结合之间的关系是什么？,5,3,4,factual,5,3,4,factual
58,chinese,唑来膦酸注射液的潜在肾脏副作用有哪些？,5,3,5,factual,5,5,5,factual
59,chinese,在唑来膦酸注射液的上市后使用中报告了哪些不良反应？,5,3,5,factual,5,3,5,factual
